Modelo,Motor,Hardware,Tarea,Numero de Problemas,Numero de Lotes,Tamaño Batch,Precisión,Energía (kWh),Energía (J),CO2 (kg),EDP (J*s),Tokens Prompt,Tokens Generados,TTFT Medio (s),TPOT (s/token),Throughput Decode (tok/s),Throughput Total (tok/s),Inferencia Media (s),Energía (J/token gen), cuantización
TinyLlama/TinyLlama-1.1B-Chat-v1.0,hf,cuda,humaneval,164,164,1,5.487804878048781,0.031605044381185624,113778.15977226825,0.005500857974545358,218029535.17251816,58326,40508,0.15871026021678272,0.04666338242252734,21.430079606000383,51.57627215062636,11.684565718581037,2.808782457101517, 16
TinyLlama/TinyLlama-1.1B-Chat-v1.0,hf,cuda,mmlu,2850,2850,1,18.70175438596491,0.030455400197654758,109639.44071155712,0.00530076240440181,204324625.8548012,516814,26543,0.14596178857903733,0.05453844885672872,18.33568832562469,291.56229865823434,0.6538965422647042,4.1306348457807, 16
TinyLlama/TinyLlama-1.1B-Chat-v1.0,llamacpp,cuda,humaneval,164,164,1,4.878048780487805,0.014424183032678927,51927.058917644135,0.0025105290568377676,45044287.95786182,58326,40613,1.1332300407130544,0.016782886466005946,59.58450603985904,114.05688745838191,5.28934813854171,1.2785822007151437, 16
TinyLlama/TinyLlama-1.1B-Chat-v1.0,llamacpp,cuda,mmlu,2850,2850,1,18.526315789473685,0.034015324359043614,122455.167692557,0.005920367204691542,296501849.03129935,516814,25504,0.72357820477402,0.014080595977632435,71.01972115303488,223.9771584887546,0.8495822468138577,4.801410276527486, 16
Qwen/Qwen2.5-Coder-3B-Instruct,llamacpp,cuda,humaneval,164,164,1,15.853658536585366,0.08019734650107094,288710.4474038554,0.0139583481585114,1778063592.1235387,51019,11304,3.163308175598703,0.4989257830512161,2.0043061192076084,10.119604997963604,37.55268044151911,25.54055621053215, 16
Qwen/Qwen2.5-Coder-3B-Instruct,hf,cuda,humaneval,164,164,1,69.51219512195121,0.14155432535982382,509595.57129536575,0.024637530328877343,5334986432.995636,51675,13733,11.421207641682974,0.6259361826426463,1.597606956955404,6.247743559597267,63.835729569923586,37.10737430243689, 16
Qwen/Qwen2.5-Coder-3B-Instruct-GPTQ-Int8,llamacpp,cuda,humaneval,164,164,1,71.34146341463415,0.007328730084132428,26383.428302876742,0.0012755654711432492,11621639.692405714,51675,10888,0.669332850270155,0.03037468220800446,32.922155140654475,142.03042501752117,2.6859154105186462,2.4231657148123387,8
Qwen/Qwen2.5-Coder-3B-Instruct-GPTQ-Int8,llamacpp,cuda,mmlu,2850,2850,1,56.70175438596491,0.019505156668883795,70218.56400798167,0.003394872518219224,94607134.074955,431965,2850,0.4456393641756292,0.0271057867585567,36.89249121995405,322.72497425977093,0.4727451509341859,24.638092634379532,8
Qwen/Qwen2.5-3B-Instruct,hf,cuda,humaneval,164,164,1,51.21951219512195,0.02860499916597503,102977.99699751011,0.004978700104837954,339072854.1381189,51675,9485,0.7202523801384902,0.33469177149570045,2.9878236788765697,18.574575403202928,20.07727343280141,10.856931681340022,8
Qwen/Qwen2.5-3B-Instruct,llamacpp,cuda,humaneval,164,164,1,70.1219512195122,0.006776031273360477,24393.712584097717,0.001179368243128391,9905862.215202847,51675,10752,0.7260391377821201,0.02669384122072231,37.46182468575202,153.72980790610404,2.4761134109845977,2.2687604709912312,8
Qwen/Qwen2.5-3B-Instruct-AWQ,vllm,cuda,humaneval,164,33,5,40.243902439024396,0.039103353488133555,140772.0725572808,0.006805938674609645,342159854.4192981,51675,12109,0.0,0.200726295051099,4.981908323199157,26.24213729349534,14.820699431547304,11.62540858512518,True
Qwen/Qwen2.5-3B-Instruct-AWQ,llamacpp,cuda,humaneval,164,164,1,49.390243902439025,0.005057758077416413,18207.92907869909,0.0008803027933743269,5537110.656018517,51675,9256,0.6624282525806893,0.02111777534439529,47.353472782605515,200.3621375145052,1.8542948903107062,1.9671487768689595,True
Qwen/Qwen2.5-3B-Instruct-AWQ,llamacpp,cuda,mmlu,1140,1140,1,66.40350877192982,0.007754548322565977,27916.373961237518,0.0013496791355426085,14433722.312982237,170633,1140,0.4399090896572983,0.013629752502106783,73.36890378937018,332.22748785533975,0.4535388421594051,24.488047334418876,True
Qwen/Qwen2.5-3B-Instruct-AWQ,vllm,cuda,humaneval,164,33,5,40.853658536585364,0.00920770588335944,33147.74118009398,0.0016026012089987104,20250179.35457158,51675,12084,0.0,0.05055501205721504,19.78043243008748,104.36780795348788,3.7250412542645526,2.743109995042534,True
Qwen/Qwen2.5-3B-Instruct-AWQ,vllm,cuda,humaneval,164,17,10,40.853658536585364,0.0069990718684683215,25196.65872648596,0.0012181884587069115,11786666.871109204,51675,11932,0.0,0.039204399916616575,25.507341066994762,135.97430801611932,2.8523591451528594,2.111687791358193,True
Qwen/Qwen2.5-3B-Instruct-AWQ,vllm,cuda,mmlu,1140,114,10,62.71929824561403,0.010938140746716177,39377.306688178236,0.0019037833969659506,31338346.13731497,170633,2280,0.0,0.34905608871526883,2.864869092186836,217.26890760408,0.6981121774305377,17.270748547446594,True
Qwen/Qwen2.5-3B-Instruct-GGUF/qwen2.5-3b-instruct-q4_k_m,llamacpp,cuda,humaneval,164,17,10,45.73170731707317,0.005093985896330274,18338.34922678899,0.0008866082452562842,5676838.566450759,51675,9082,1.197383768418256,0.03184381433846903,31.403273156003383,196.2682346749596,1.8875673529578418,2.0191972282304547,True
Qwen/Qwen2.5-3B-Instruct-GGUF/qwen2.5-3b-instruct-q4_k_m,llamacpp,cuda,mmlu,1140,114,10,64.64912280701755,0.007732529499726772,27837.10619901638,0.001345846759427445,14555591.118135111,170633,1140,0.7535350699173776,0.38331709953776577,2.608806132588083,328.5104125497224,0.45867060652950353,24.418514209663492,True
